Date,Day,Is_Holiday,Holiday_Name,Holiday_Category,Events_Count,Event_Good_Count,Event_Bad_Count,Event_Sentiment,Event_Texts,Event_Links
2007-01-01,Monday,False,,,0,0,0,neutral,,
2007-01-02,Tuesday,False,,,0,0,0,neutral,,
2007-01-03,Wednesday,False,,,0,0,0,neutral,,
2007-01-04,Thursday,False,,,0,0,0,neutral,,
2007-01-05,Friday,False,,,1,0,0,neutral,"The Taiwan High Speed Rail opened, connecting Taipei and Kaohsiung.",https://en.wikipedia.org/wiki/Taiwan_High_Speed_Rail
2007-01-06,Saturday,False,,,0,0,0,neutral,,
2007-01-07,Sunday,False,,,0,0,0,neutral,,
2007-01-08,Monday,False,,,0,0,0,neutral,,
2007-01-09,Tuesday,False,,,1,0,0,neutral,Apple CEO Steve Jobs introduces the original iPhone at a Macworld keynote in San Francisco.,https://en.wikipedia.org/wiki/Apple_Inc.
2007-01-10,Wednesday,False,,,1,0,0,neutral,The strongest storm in the United Kingdom in 17 years kills 14 people and Germany sees the worst storm since 1999 with 13 deaths. Cyclone Kyrill causes at least 44 deaths across 20 countries in Western Europe.,https://en.wikipedia.org/wiki/1999
2007-01-11,Thursday,False,,,2,0,0,neutral,"Comet C/2006 P1 (McNaught), one of the brightest comets ever observed is at its zenith visible during the day. || Comet McNaught (pictured) reached perihelion, becoming the brightest comet in over 40 years, with an apparent magnitude of −5.5.",https://en.wikipedia.org/wiki/Comet_McNaught || https://en.wikipedia.org/wiki/Comet_McNaught
2007-01-12,Friday,False,,,0,0,0,neutral,,
2007-01-13,Saturday,False,,,0,0,0,neutral,,
2007-01-14,Sunday,False,,,2,1,0,good,"The 110th United States Congress convenes, electing Nancy Pelosi as the first female Speaker of the House in U.S. history. || Nancy Pelosi became Speaker of the United States House of Representatives, becoming the highest-ranking woman in the history of the U.S. government.",https://en.wikipedia.org/wiki/110th_United_States_Congress || https://en.wikipedia.org/wiki/Nancy_Pelosi
2007-01-15,Monday,False,,,0,0,0,neutral,,
2007-01-16,Tuesday,False,,,0,0,0,neutral,,
2007-01-17,Wednesday,False,,,1,0,0,neutral,The Doomsday Clock is set to five minutes to midnight in response to North Korea's nuclear testing.,https://en.wikipedia.org/wiki/Doomsday_Clock
2007-01-18,Thursday,False,,,2,0,0,neutral,"A general strike begins in Guinea in an attempt to get President Lansana Conté to resign. || A general strike began in Guinea as an attempt to force President Lansana Conté to resign, eventually resulting in the appointment of two new prime ministers.",https://en.wikipedia.org/wiki/2007_Guinean_general_strike || https://en.wikipedia.org/wiki/2007_Guinean_general_strike
2007-01-19,Friday,False,,,4,2,2,bad,"Turkish-Armenian journalist Hrant Dink is assassinated in front of his newspaper's Istanbul office by 17-year-old Turkish ultra-nationalist Ogün Samast. || Four-man Team N2i, using only skis and kites, completes a 1,093-mile (1,759 km) trek to reach the Antarctic pole of inaccessibility for the first time since 1965 and for the first time ever without mechanical assistance. || Turkish-Armenian journalist and human-rights activist Hrant Dink was assassinated by a Turkish nationalist in Istanbul. || A four-man team, using only skis and kites, completed a 1,093-mile (1,759 km) trek to reach the Southern Pole of Inaccessibility, the first people to get there since 1967, and the first to do so on foot.",https://en.wikipedia.org/wiki/Hrant_Dink || https://en.wikipedia.org/wiki/Henry_Cookson || https://en.wikipedia.org/wiki/Hrant_Dink || https://en.wikipedia.org/wiki/Snowkiting
2007-01-20,Saturday,False,,,0,0,0,neutral,,
2007-01-21,Sunday,False,,,0,0,0,neutral,,
2007-01-22,Monday,False,,,1,0,1,bad,"At least 88 people are killed when two car bombs explode in the Bab Al-Sharqi market in central Baghdad, Iraq.",https://en.wikipedia.org/wiki/22_January_2007_Baghdad_bombings
2007-01-23,Tuesday,False,,,0,0,0,neutral,,
2007-01-24,Wednesday,False,,,0,0,0,neutral,,
2007-01-25,Thursday,False,,,0,0,0,neutral,,
2007-01-26,Friday,True,Republic Day,general,0,0,0,neutral,,
2007-01-27,Saturday,False,,,0,0,0,neutral,,
2007-01-28,Sunday,False,,,0,0,0,neutral,,
2007-01-29,Monday,False,,,0,0,0,neutral,,
2007-01-30,Tuesday,True,Muharram,muslim,1,0,0,neutral,"Microsoft Corporation releases Windows Vista, a major release of the operating system Microsoft Windows and the NT based kernel.",https://en.wikipedia.org/wiki/Microsoft
